index,event,NClus,foundZ,MBDZ,calculated_centrality,MBD_charge_sum
1,1,2117,-1.4,-2.00375,0.258327,712.013
2,2,185,-21,-23.914,0.670086,102.031
3,3,94,-7.8,-8.46999,0.790501,43.0604
4,4,1313,-15.6,-17.158,0.391438,434.091
5,5,882,-17,-18.2867,0.481934,289.326
7,7,3502,-0.2,-0.0994089,0.159002,991.558
8,8,265,4.8,5.4806,0.604501,153.803
9,9,778,2,1.67367,0.566925,190.707
12,12,663,-15.4,-16.45,0.538274,222.791
13,13,504,-12.4,-12.6948,0.664098,105.963
14,14,258,-6,-5.74973,0.687036,91.3261
15,15,2947,-17.2,-18.1408,0.193721,883.913
16,16,148,-0.8,-0.65708,0.731866,65.7829
18,18,1539,-20.4,-21.8332,0.336046,538.313
19,19,1498,-4.4,-4.95752,0.375644,460.78
21,21,3061,-5.6,-5.98171,0.226786,793.268
23,23,42,-9.6,-10.5214,0.803246,35.9408
24,24,3524,-0.8,-0.740885,0.113465,1150.79
25,25,8,-15.8,-15.2124,0.848012,27.5623
26,26,2009,2.2,1.82376,0.334104,539.793
28,28,27,27.2,1.82795,0.848012,26.2049
29,29,1560,-26.4,-27.9424,0.340428,527.591
30,30,4897,-13.4,-14.2619,0.0930162,1226.84
31,31,52,-15,-14.1016,0.803246,39.5647
33,33,3154,-3.6,-3.95522,0.232757,778.248
34,34,376,4,4.57505,0.652718,115.748
35,35,1485,-12.8,-13.2956,0.32083,567.005
37,37,3606,-23.6,-24.6556,0.0720695,1315.72
38,38,5893,-4.2,-4.05469,0.0441566,1440.13
39,39,5210,-8.4,-8.97212,0.0550232,1392.16
40,40,751,7.6,7.77312,0.538274,223.211
41,41,0,0,-9.59965,1,2.34311
43,43,244,-23.2,-24.8599,0.549285,208.742
44,44,0,0,12.3541,1,2.17543
47,47,248,-13,-13.4292,0.641466,122.03
48,48,143,3.2,5.28986,0.935539,10.1558
49,49,488,-15.8,-16.7246,0.670086,100.467
51,51,5719,-6.2,-6.26179,0.0401117,1458.81
54,54,2,0,-21.9457,1,2.25044
55,55,2395,-14,-15.5487,0.271199,680
56,56,800,19.6,20.7363,0.45415,328.986
57,57,59,-10,-9.81295,0.888188,16.268
61,61,2197,-0.2,-0.585132,0.300188,611.137
62,62,4778,1.4,1.5937,0.0963708,1214.54
63,63,493,-1.6,-2.11682,0.574951,181.678
65,65,452,-18.6,-20.3817,0.583073,171.869
67,67,599,-8.8,-10.0112,0.512833,248.586
68,68,387,-9.8,-10.5125,0.534181,224.168
69,69,840,-13.8,-14.5496,0.459511,319.395
72,72,1256,0.4,0.371118,0.415563,394.389
74,74,3539,12,12.0649,0.203705,856.743
77,77,2786,-8,-9.07819,0.269723,683.013
78,78,99,-0.4,-0.380131,0.803246,36.7222
79,79,1109,-2.2,-2.74063,0.538274,219.929
81,81,4185,10,10.6737,0.118698,1129.97
83,83,4590,-5.4,-5.85456,0.13072,1087.24
84,84,2937,2.6,3.02874,0.235823,768.04
85,85,160,14.6,16.4382,0.715478,72.4245
86,86,154,-3.6,-2.75778,0.831945,30.1362
89,89,483,5.2,5.55795,0.622622,138.062
92,92,3770,1.2,1.10437,0.165262,971.997
93,93,3174,1.08247e-15,-0.113641,0.220815,809.359
95,95,37,-3.8,-4.36816,0.848012,27.3804
97,97,1635,-22,-23.1197,0.369143,474.856
99,99,1968,-18,-18.5077,0.305469,602.748
102,102,171,17.2,18.8629,0.723664,70.2944
103,103,260,4.8,5.26689,0.687036,88.2716
107,107,6879,6.4,7.36048,0.00133224,1759.05
110,110,3497,33.6,-16.6038,0.261328,703.472
111,111,89,1.8,1.33573,0.723664,68.8462
112,112,5703,-3.4,-3.41491,0.0783776,1288.64
114,114,274,1.08247e-15,-0.14391,0.658432,109.855
117,117,1554,4.6,4.88265,0.354424,502.608
118,118,2342,4.2,3.70088,0.256657,717.589
119,119,2661,-9.6,-10.2893,0.258327,713.373
120,120,1693,13.4,13.2937,0.274618,672.769
121,121,159,-7.6,-7.82887,0.740389,62.4025
126,126,589,1.8,1.69173,0.512833,249.867
128,128,36,-12.4,-11.238,0.740389,60.7967
