index,event,NClus,foundZ,trueZ,chargeSum,centrality
1,1,2117,nan,-2.00375,712.013,nan
2,2,185,nan,-23.914,102.031,nan
3,3,94,nan,-8.46999,43.0604,nan
4,4,1313,nan,-17.158,434.091,nan
5,5,882,nan,-18.2867,289.326,nan
7,7,3502,nan,-0.0994089,991.558,nan
8,8,265,nan,5.4806,153.803,nan
9,9,778,nan,1.67367,190.707,nan
12,12,663,nan,-16.45,222.791,nan
13,13,504,nan,-12.6948,105.963,nan
14,14,258,nan,-5.74973,91.3261,nan
15,15,2947,nan,-18.1408,883.913,nan
16,16,148,nan,-0.65708,65.7829,nan
18,18,1539,nan,-21.8332,538.313,nan
19,19,1498,nan,-4.95752,460.78,nan
21,21,3061,nan,-5.98171,793.268,nan
23,23,42,nan,-10.5214,35.9408,nan
24,24,3524,nan,-0.740885,1150.79,nan
25,25,8,nan,-15.2124,27.5623,nan
26,26,2009,nan,1.82376,539.793,nan
28,28,27,nan,1.82795,26.2049,nan
29,29,1560,nan,-27.9424,527.591,nan
30,30,4897,nan,-14.2619,1226.84,nan
31,31,52,nan,-14.1016,39.5647,nan
33,33,3154,nan,-3.95522,778.248,nan
34,34,376,nan,4.57505,115.748,nan
35,35,1485,nan,-13.2956,567.005,nan
37,37,3606,nan,-24.6556,1315.72,nan
38,38,5893,nan,-4.05469,1440.13,nan
39,39,5210,nan,-8.97212,1392.16,nan
40,40,751,nan,7.77312,223.211,nan
41,41,0,nan,-9.59965,2.34311,nan
43,43,244,nan,-24.8599,208.742,nan
44,44,0,nan,12.3541,2.17543,nan
47,47,248,nan,-13.4292,122.03,nan
48,48,143,nan,5.28986,10.1558,nan
49,49,488,nan,-16.7246,100.467,nan
51,51,5719,nan,-6.26179,1458.81,nan
54,54,2,nan,-21.9457,2.25044,nan
55,55,2395,nan,-15.5487,680,nan
56,56,800,nan,20.7363,328.986,nan
57,57,59,nan,-9.81295,16.268,nan
61,61,2197,nan,-0.585132,611.137,nan
62,62,4778,nan,1.5937,1214.54,nan
63,63,493,nan,-2.11682,181.678,nan
65,65,452,nan,-20.3817,171.869,nan
67,67,599,nan,-10.0112,248.586,nan
68,68,387,nan,-10.5125,224.168,nan
69,69,840,nan,-14.5496,319.395,nan
72,72,1256,nan,0.371118,394.389,nan
74,74,3539,nan,12.0649,856.743,nan
77,77,2786,nan,-9.07819,683.013,nan
78,78,99,nan,-0.380131,36.7222,nan
79,79,1109,nan,-2.74063,219.929,nan
81,81,4185,nan,10.6737,1129.97,nan
